1 	203.373 207.52025 209.79 204.5106 206.7415 207.792 208.791 209.79 1.61546877871
2 	185.629 190.922022222 194.611 188.0118 189.81 190.809 191.808 192.807 1.86049909061
4 	165.834 169.731278689 173.826 166.833 168.831 169.83 170.829 172.827 1.77427402038
8 	133.866 135.888846154 138.861 134.62975 134.865 135.229 136.829 138.61125 1.388437381
16 	91.816 95.4518461538 100.899 92.0655 93.906 94.905 96.806 100.24875 2.33128080829
32 	59.88 61.2808611111 65.868 59.88 59.94 60.939 61.938 64.1535 1.52135316509
64 	29.97 36.1322272727 43.956 30.9101 30.969 34.4655 41.958 43.82245 5.22736659698
