64 	27.819 36.3955737705 41.084 28.942 36.401 37.213 37.65 38.649 2.79595789304 0
128 	14.438 127.229934426 139.735 120.01 125.624 129.741 132.742 135.864 15.3418948387 0
256 	36.066 150.957213115 164.585 141.218 149.95 153.596 156.094 160.928 15.757424539 0
512 	163.011 173.380557377 181.138 169.83 171.828 173.154 174.651 178.643 3.1092711524 0
1024 	194.611 210.861868852 226.547 197.802 203.593 210.789 218.563 222.777 8.42886982579 0
2048 	189.621 206.46342623 221.778 195.609 201.798 207.792 211.577 213.786 5.92590904546 0
4096 	87.737 181.56095082 255.489 115.884 175.649 191.617 199.8 227.545 34.4696879617 0
