64 	228.428 445.508 1493.55 387.738 417.293 428.086 449.376 630.012 0.0 0
128 	131.035 259.643 2887.847 204.611 228.765 247.064 263.722 371.585 0.0 0
256 	101.194 213.999 1062.359 168.081 193.503 211.37 221.752 317.393 0.0 0
512 	111.673 185.446 677.08 163.619 179.226 182.364 191.447 223.757 0.0 0
1024 	87.953 151.522 516.513 134.797 146.383 151.217 154.725 215.701 0.0 0
2048 	207.855 311.46 871.89 258.142 290.073 309.451 329.689 386.986 0.0 0
4096 	600.152 1402.495 2406.112 1136.242 1188.382 1359.376 1626.529 1784.63 0.0 0
