64 	9.98 10.6576065574 10.989 9.98 9.99 10.978 10.989 10.989 0.468753466564 0
128 	31.936 33.969704918 35.964 32.934 32.967 32.967 35.928 35.964 1.39821455639 0
256 	76.77 79.1828852459 83.916 76.846 76.923 77.922 81.836 83.832 2.64040376382 0
512 	162.675 167.097836066 170.489 164.671 165.669 166.667 168.831 169.83 2.07816055313 0
1024 	164.671 170.076836066 178.643 165.669 168.663 169.83 171.657 175.824 2.93615930789 0
2048 	163.673 169.419606557 175.824 163.836 165.834 169.83 171.657 175.824 3.34442422342 0
4096 	147.705 169.126901639 179.82 155.844 163.673 171.657 175.649 179.641 7.83690073339 0
8192 	119.641 167.886933333 239.76 119.76 127.872 167.7485 201.798 231.768 40.8211505643 0
