64 	7.243 7.42257377049 7.555 7.305 7.368 7.43 7.485 7.493 0.060133038031 0
128 	71.66 75.3473606557 76.299 72.552 74.227 76.049 76.174 76.299 1.31801579673 0
256 	116.152 118.619901639 119.63 117.515 118.513 118.631 118.881 119.511 0.659576906239 0
512 	94.905 97.3610163934 99.8 95.405 96.806 97.403 98.303 98.901 1.09185023431 0
1024 	101.695 104.719311475 107.892 101.898 103.896 104.79 105.894 106.893 1.55044861346 0
2048 	47.856 52.4508196721 57.942 47.952 49.95 51.948 53.946 55.944 2.45622507585 0
4096 	15.968 26.1922622951 39.92 15.984 23.976 27.944 27.972 31.968 4.82451079963 0
8192 	0.0 12.6483333333 31.936 0.0 7.984 15.968 15.984 23.976 8.90507225624 0
