1 	233.766 248.292721311 250.0 235.0 248.751 249.0 249.75 250.0 3.79770299053
2 	442.557 493.752344262 499.5 461.538 496.0 497.502 498.0 499.002 11.8786254916
4 	925.075 1028.25632787 1036.0 1022.0 1029.97 1030.969 1032.967 1034.0 14.4754670478
8 	1929.071 2028.51506557 2041.958 2011.988 2027.972 2029.97 2032.967 2039.96 14.3018738723
16 	3399.6 3840.81101639 3942.058 3783.217 3819.181 3851.0 3883.117 3916.084 71.1967236632
32 	3226.773 3807.46011475 4410.589 3329.67 3388.0 3909.091 4109.89 4229.77 351.392817322
