1 	3697.303 3991.84365854 4010.989 3986.028 4000.998 4001.998 4004.995 4010.989 52.1056696899
2 	2388.224 3823.56970732 3948.052 3357.642 3921.158 3934.066 3940.06 3944.056 284.541478132
4 	3679.641 3925.3945122 3945.055 3916.084 3931.138 3936.128 3939.061 3943.057 44.0223491633
8 	3680.639 3951.59521951 3974.052 3924.152 3957.086 3962.076 3967.066 3972.028 49.4571448356
16 	3694.306 3943.50492683 3964.072 3937.063 3948.052 3952.096 3955.045 3962.076 43.386418486
32 	3705.589 3969.15119512 3990.01 3949.051 3976.048 3980.04 3984.016 3986.014 46.5813281033
64 	3679.641 3948.82129268 3967.033 3938.062 3958.084 3961.039 3962.076 3965.035 48.4366165448
