1 	5632.368 5985.49107317 6059.88 5898.305 5931.138 6025.948 6037.924 6051.948 79.0818990567
2 	5810.19 5969.7412439 6055.944 5856.287 5916.168 5998.004 6018.981 6041.958 62.7491709228
4 	5367.632 5808.44314634 5906.094 5637.725 5755.245 5856.144 5878.244 5898.102 114.075310161
8 	5028.942 5306.15082927 5402.597 5239.521 5251.748 5321.357 5368.631 5394.212 70.6519715776
16 	4392.607 4829.15719512 4924.152 4677.645 4791.209 4848.303 4906.094 4922.078 112.766259811
32 	3734.796 4241.84887805 4316.367 4074.85 4241.758 4269.461 4287.425 4307.692 106.505364274
64 	3419.58 3858.37270732 3993.014 3545.908 3776.224 3901.099 3952.096 3966.034 130.205173005
