1 	6269.192 6358.28473171 6406.593 6305.389 6333.666 6358.641 6392.216 6403.596 36.3768610454
2 	6240.519 6280.93719512 6346.653 6243.513 6249.501 6263.473 6317.682 6346.653 37.222170297
4 	5948.156 6072.50890244 6134.865 5979.021 6009.98 6112.774 6119.76 6127.745 58.4707601121
8 	3531.936 3622.06468293 3639.361 3593.812 3624.376 3630.37 3633.367 3637.363 22.2486449414
16 	1930.14 1974.74817073 1986.014 1942.116 1973.054 1979.042 1982.018 1986.014 12.650263001
32 	1022.954 1039.79202439 1044.91 1031.936 1038.922 1040.918 1042.957 1043.956 4.55340231137
64 	582.253 600.214731707 606.786 590.41 598.802 601.399 603.792 604.79 4.9399218816
