32768 	575.549 587.345885246 589.379 585.735 587.013 587.6 588.162 588.635 1.72952322719 32768
65536 	1060.005 1064.62755738 1069.993 1061.003 1063.499 1064.995 1066.184 1067.495 2.07191786916 65536
131072 	1745.504 1757.74593443 1763.861 1751.873 1756.238 1758.242 1759.74 1762.113 3.36881212157 131072
262144 	2638.861 2670.12570492 2674.575 2666.916 2669.081 2670.829 2672.078 2673.826 4.55518921291 262144
524288 	3513.972 3624.35145902 3631.369 3618.762 3624.376 3627.373 3628.372 3630.869 14.7789930518 524288
1048576 	3838.162 4024.0852459 4035.964 4017.964 4025.974 4029.97 4032.967 4034.965 27.8771883009 1048576
2097152 	3736.527 3882.71939344 3902.098 3832.168 3886.114 3890.11 3892.108 3896.104 27.9565876059 2097152
4194304 	3728.272 3878.72139344 3900.2 3772.228 3888.112 3896.104 3900.1 3900.1 41.1239351845 4194304
