32768 	6092.564 6141.32804918 6260.562 6103.013 6119.318 6124.188 6164.398 6248.564 38.8604245011 32768
65536 	6469.623 6584.21967213 6634.74 6555.007 6560.877 6573.989 6617.695 6630.37 31.262238073 65536
131072 	6666.667 6818.49572131 6885.365 6733.408 6776.447 6840.174 6865.394 6882.735 54.9263771954 131072
262144 	6901.198 6998.93036066 7043.912 6914.172 6985.015 7017.964 7029.72 7038.922 39.4565258851 262144
524288 	6825.349 6962.73796721 7040.959 6878.743 6937.562 6969.062 6998.002 7023.453 46.3892172265 524288
1048576 	6878.244 7064.95190164 7142.857 6982.036 6998.004 7094.905 7122.754 7140.719 64.9806060123 1048576
2097152 	6575.697 6904.01945902 7102.897 6683.317 6703.297 6968.064 7057.884 7097.804 171.439815409 2097152
4194304 	6343.313 6692.86009836 6894.212 6387.226 6439.122 6798.403 6846.307 6877.123 190.624012838 4194304
