64 	3361.465 3613.57562295 3638.611 3579.046 3610.015 3619.63 3631.612 3637.425 36.8148142799 65536
128 	4019.835 4352.43865574 4383.616 4333.209 4343.812 4355.769 4375.624 4381.494 46.4809002991 131072
256 	4321.678 4456.11214754 4557.443 4373.253 4419.661 4459.291 4493.756 4525.948 49.9717473778 262144
512 	3929.071 4115.22386885 4767.198 3952.096 4027.445 4077.345 4197.303 4291.916 143.774070451 524288
1024 	4091.961 4328.46172131 4420.918 4237.405 4285.835 4347.708 4388.227 4404.324 67.4496402645 1024576
2048 	3994.012 4135.04677049 4285.714 4015.968 4061.876 4127.617 4209.79 4267.465 82.9212375538 2097152
4096 	3828.172 4053.48862295 4295.704 3920.16 3972.056 4027.972 4123.752 4247.505 105.815167734 4194304
