64 	2896.416 2973.14481667 2986.451 2948.0925 2974.65975 2978.74 2980.69475 2984.6494 15.6366960305 65536
128 	2939.122 2966.26853333 2980.894 2942.92665 2963.47375 2968.4225 2972.33675 2977.52825 9.60063298515 131072
256 	2942.116 2975.00441667 2989.261 2959.1938 2968.9995 2972.028 2985.08875 2989.011 10.274765688 262144
512 	2962.575 3000.57401667 3014.486 2982.90925 2995.01 2999.251 3010.978 3012.51295 11.0691678873 524288
1024 	2971.04 3014.03615 3024.068 2989.79625 3014.224 3018.125 3020.164 3022.116 10.9656463829 1024576
2048 	2982.036 3025.61315 3036.963 2999.0029 3024.975 3028.4575 3030.969 3033.98365 10.5131695456 2097152
4096 	2989.011 3033.3538 3048.951 3013.92275 3029.94 3033.932 3040.959 3045.908 11.4254112527 4194304
