64 	1121.063 1149.86978333 1155.907 1141.6671 1148.814 1151.585 1153.12125 1155.2976 6.09863467806 65536
128 	1988.772 2019.6671 2030.47 2004.8388 2017.5945 2021.9155 2023.5335 2026.7667 7.30088469457 131072
256 	2688.312 2721.05428333 2727.273 2715.18435 2719.3035 2722.2915 2724.276 2725.7865 5.68935767052 262144
512 	3552.448 3680.22023333 3688.811 3670.53425 3681.27375 3683.317 3684.815 3686.838 17.4572429499 524288
1024 	3740.552 3925.05066667 3945.54 3916.249 3925.025 3929.901 3932.83225 3938.707 26.3797883083 1024576
2048 	3688.312 3869.30323333 3882.118 3806.37735 3875.65575 3878.122 3880.12 3880.2199 32.1554596911 2097152
4096 	3592.408 3788.1413 3812.188 3671.94515 3803.24675 3804.391 3808.192 3808.383 45.1390558044 4194304
