32768 	0.58 0.58168852459 0.584 0.58 0.581 0.582 0.582 0.583 0.000932843064948 32768
65536 	559.085 562.877459016 565.206 560.24 562.268 562.987 563.737 564.799 1.3700725908 65536
131072 	1383.38 1395.66342623 1404.553 1389.563 1394.247 1396.215 1397.526 1400.899 3.48381759916 131072
262144 	2394.358 2427.62927869 2433.032 2424.927 2426.912 2427.765 2429.972 2431.939 4.8726532784 262144
524288 	3377.372 3476.78001639 3484.711 3471.598 3477.218 3480.028 3482.37 3483.306 15.6508430648 524288
1048576 	3739.764 3930.93867213 3943.837 3921.577 3934.1 3936.094 3939.966 3942.869 29.3088933433 1048576
2097152 	3681.875 3820.33495082 3833.32 3768.415 3825.565 3827.419 3829.386 3831.353 26.5065461153 2097152
4194304 	3687.279 3839.41667213 3869.66 3718.997 3849.955 3857.876 3861.73 3861.837 45.5827926682 4194304
