32768 	9.836 10.7333770492 11.013 10.456 10.529 10.84 10.878 10.936 0.212028235356 32768
65536 	4303.943 4399.7894918 4471.897 4335.942 4365.568 4412.705 4432.374 4443.176 40.867685309 65536
131072 	6183.992 6320.10537705 6413.748 6279.742 6308.658 6324.715 6338.421 6348.716 30.2814393307 131072
262144 	6516.69 6680.97809836 6909.054 6539.155 6658.271 6686.684 6705.121 6845.327 80.3615351118 262144
524288 	6864.219 6969.91734426 7025.158 6872.341 6934.864 6999.863 7011.102 7017.19 52.5216588893 524288
1048576 	6642.238 6915.21081967 7092.132 6697.264 6716.685 6951.799 7074.418 7089.228 159.272803618 1048576
2097152 	6571.125 6916.6362459 7043.16 6722.569 6766.946 6984.155 7021.525 7033.326 127.348359521 2097152
4194304 	6042.379 6359.32131148 6732.257 6074.098 6159.135 6426.966 6511.652 6676.75 209.611846079 4194304
