64 	686.067 1530.78011475 1569.846 1491.143 1535.794 1558.391 1563.933 1568.17 115.417489071 0
128 	1810.878 2300.44463934 2332.542 2281.811 2301.522 2310.19 2317.241 2328.468 64.6825394848 0
256 	2330.339 3042.7255082 3104.541 3013.473 3044.661 3051.397 3063.623 3095.808 95.3688753899 0
512 	3564.371 3697.28798361 3717.782 3665.17 3695.804 3703.094 3710.08 3715.285 23.3685433853 0
1024 	3698.603 3925.82591803 3963.037 3902.196 3929.071 3934.066 3938.124 3946.054 40.2686576239 0
2048 	3814.186 4047.86467213 4093.906 3988.012 4049.9 4057.942 4063.936 4089.91 43.5882973694 0
4096 	3952.096 4079.42904918 4127.872 3996.004 4051.948 4095.808 4111.776 4119.76 41.1266336162 0
