64 	156.219 156.583163934 156.718 156.469 156.5 156.562 156.656 156.718 0.0960000307937 0
128 	314.247 315.166327869 315.435 314.685 314.995 315.185 315.435 315.435 0.252025806726 0
256 	626.248 627.169098361 628.244 626.747 626.996 627.123 627.373 627.622 0.38950088722 0
512 	1207.792 1242.06136066 1247.006 1234.531 1243.014 1243.756 1244.012 1244.256 6.17920005973 0
1024 	2446.108 2461.98970492 2466.068 2460.08 2461.078 2462.537 2463.536 2464.535 2.54399449262 0
2048 	2327.345 3185.60162295 3246.753 2924.152 3237.525 3241.517 3244.755 3244.755 200.66111434 0
4096 	3652.348 3911.27885246 3936.064 3832.335 3920.16 3928.144 3932.068 3936.064 50.1295098935 0
