64 	1187.687 1331.74003279 1343.875 1322.408 1333.043 1334.87 1336.802 1340.886 19.7168314158 0
128 	1852.545 2138.27608197 2169.99 2070.538 2143.569 2150.075 2159.487 2167.871 54.3376548473 0
256 	2857.143 3080.04942623 3146.457 3039.172 3071.678 3076.673 3086.078 3141.359 38.788824242 0
512 	3863.636 4374.08342623 4450.1 4324.176 4367.632 4384.615 4397.602 4434.132 75.6300651635 0
1024 	4902.098 5318.93444262 5371.257 5247.258 5320.359 5329.341 5338.661 5349.301 58.9301620293 0
2048 	5154.536 5606.16504918 5824.176 5377.246 5586.826 5636.364 5694.306 5732.268 125.172468345 0
4096 	5300.1 5803.65604918 5960.08 5445.11 5804.391 5848.303 5906.094 5948.104 158.140878364 0
